Qty,Value,Device,Package,Parts,Description,ARROW_PART_NUMBER,ARROW_PRICE-STOCK,AVAILABILITY,CHECK_PRICES,COPYRIGHT,DESCRIPTION,DIGI-KEY_PART_NUMBER_1,DIGI-KEY_PART_NUMBER_2,DIGI-KEY_PART_NUMBER_3,HEIGHT,JLCPCB,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER,MF,MOUSER_PART_NUMBER,MOUSER_PRICE-STOCK,MP,PACKAGE,POPULARITY,PRICE,PROD_ID,PURCHASE-URL,SNAPEDA_LINK,SPICEMODEL,SPICEPREFIX,TP_SIGNAL_NAME,VALUE
1,,ESP32_C6_LIBRARY_7_JUMPER_SJ,ESP32_C6_LIBRARY_7_JUMPER_SJ,SJ1,"SMD solder JUMPER",,,,,,,,,,,,,,,,,,,3,,,,,,,,
2,0,CPF0201D7K68C1_CPF0201D7K68C1,CPF0201D7K68C1_0201,"R2, R4","7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,R3,"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.1uF,GRM011R60J152KE01L_2_GRM011R60J152KE01L,GRM011R60J152KE01L_2_CAPC0201X13N,"C23, C27, C42","Check availability",,,"In Stock",https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=eda,,"                                                      SMD Capacitor X5R(EIA) with Capacitance: 1500pF Tol. 10%. Rated Voltage: 6.3Vdc                                              ",,,,,,,,Murata,,,GRM011R60J152KE01L,"0201 Murata",,None,,,https://www.snapeda.com/parts/GRM011R60J152KE01L/Murata/view-part/?ref=snap,,,,
1,"0.1uF ",NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C34,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.1uF/50V,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_CC0402,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402,EPD_C5,"CAPACITOR, European symbol",,,,,,,,,,,,,,,,,,,,,,,,NONE,C,,
1,0.47,ERA-1AEB3401C_CPF0201D7K68C1,ERA-1AEB3401C_0201,R1_EP_DR,"7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1.0µF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C15,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,100nF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,"C5, C7, C8, C12, C19","Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100pF,NORDIC_NRF_3_CAPACITOR_0201_L,NORDIC_NRF_3_RESC0201_L,C11,"Generic chip capacitor",,,,,,,,,,,,,,,,,,,,,,,,,,,
