ANT1,128.17,115.47,0.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,113.74,121.16,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,106.50,118.24,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,109.07,121.78,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,111.96,112.01,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,119.61,119.91,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,109.07,120.97,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,109.30,123.57,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C15,118.36,119.91,0.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,109.07,122.58,0.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,119.33,110.29,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,119.33,111.15,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,120.19,111.89,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,113.74,120.14,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,106.50,117.30,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,111.23,121.11,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,111.89,110.01,0.00,4.7µF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,124.31,114.96,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,106.88,119.96,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,106.71,112.32,0.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,106.71,113.77,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C27,103.73,128.65,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,97.38,104.12,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,120.93,115.80,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,119.51,104.12,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,108.41,104.12,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,89.89,102.31,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,106.71,115.32,0.00,22uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C34,93.32,102.51,0.00,"0.1uF ",NORDIC_NRF_3_RESC0201_L
C37,104.67,123.37,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,102.13,123.37,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,109.07,120.17,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,124.31,115.82,0.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,115.87,128.19,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,118.59,128.17,0.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C5,112.04,117.75,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,120.88,119.08,0.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,113.67,119.08,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,111.40,113.28,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,121.18,112.65,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,103.45,118.85,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
